DOT_NUMBER,APPLICATION_ID,POLICY_NUMBER,EFFECTIVE_DATE,RETRO_10SEC_GPS_SCORE_V1_SCORE,EARNED_PU_YEARS,PROJECTED_AL_AT_FAULT_COUNT,PROJECTED_INJURY_AL_AT_FAULT_COUNT,PROJECTED_NON_INJURY_AL_AT_FAULT_COUNT,AL_EARNED_PREMIUM_ADJ,M3_PROJECTED_AL_LOSS_ADJ,M3_PROJECTED_AL_INJURY_LOSS,M3_PROJECTED_AL_NON_INJURY_LOSS,PROJECTED_APD_AT_FAULT_COUNT,APD_EARNED_PREMIUM_ADJ,M3_PROJECTED_APD_LOSS_ADJ,PROJECTED_MTC_AT_FAULT_COUNT,MTC_EARNED_PREMIUM_ADJ,M3_PROJECTED_MTC_LOSS_ADJ,STATE,BIZ_OWNER_CREDIT_SCORE,DRIVERS_COUNT,FLEET_COUNT_POWER_UNIT,FLEET_TIV,YEARS_FMCSA,USDOT_SCORE_GRP,CREDIT_CODE,DATE_OF_CREDIT_REPORT_RUN,REGISTERED_MONTHS,OUT_OF_STATE_DRIVER_COUNT,TIER,INSPECTIONS_COUNTS,NON_OOS_VIOLATIONS,OOS_SEVERITY_WEIGHT,FMCSA_UNSAFE_VIO_RATIO,AVG_DRIVER_VIOS,DRIVER_TURNOVER,AVG_DRIVER_AGE,PCT_DRIVER_AGE_GTE_30,PCT_DRIVER_AGE_GTE_35,PCT_DRIVER_AGE_GTE_40,PCT_DRIVER_AGE_GTE_45,PCT_DRIVER_AGE_GTE_50,PCT_DRIVER_AGE_GTE_55,PCT_DRIVER_AGE_GTE_60,PCT_DRIVER_AGE_GTE_65,PCT_DRIVER_AGE_GTE_70,AVG_CDL_YEARS,PCT_CDL_YEARS_GTE_3,PCT_CDL_YEARS_GTE_5,PCT_CDL_YEARS_GTE_7,PCT_CDL_YEARS_GTE_9,PCT_CDL_YEARS_GTE_11,PCT_CDL_YEARS_GTE_15,PCT_CDL_YEARS_GTE_20,PCT_CDL_YEARS_GTE_25,AVG_VIOLATION_POINTS,PCT_VIOLATION_POINTS_EQ_0,PCT_VIOLATION_POINTS_GTE_1,PCT_VIOLATION_POINTS_GTE_2,PCT_VIOLATION_POINTS_GTE_3,MAX_RADIUS,COMMODITY_PRIMARY_CATEGORY,COMMODITY_PRIMARY_COMMODITY,AVG_ANNUAL_MILEAGE,PCT_VINS_ANNUAL_MILES_LT_75K,PCT_VINS_ANNUAL_MILES_LT_50K,PCT_VINS_ANNUAL_MILES_GT_100K,AL_EARNED_PREMIUM_ADJ_ONLEVEL,fold,cross_val_split
3664576,0501e0f5-857d-4bb9-8270-89ca5d78734c,NNFTK6145355-24,2024-07-25,25.0,7.241095,2.035511,0.986193,1.049318,97122.945055,204676.53115387095,170109.68442698984,33207.12549611111,,0.0,0.0,,0.0,0.0,IL,e1,6.0,6.0,0.0,2.0,b07,e1,,35.0,4.0,118.0,25.0,16.0,17.0,,,,40.0,1.0,0.833333,0.333333,0.166667,0.166667,0.0,0.0,0.0,0.0,4.666667,0.833333,0.333333,0.333333,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,999plus,Food & Beverage,AdmittedCommodityPaperAndPaperProducts,125194.62721795305,0.083333,0.0,0.75,109020.50582423751,T,train
3024543,06a5c2a3-6eac-462c-8979-217f7939f860,NNFTK7543020-24,2024-10-02,33.0,3.000001,,,,32781.0,458.934,,,,5859.000003000001,82.026000042,,2369.999999,33.179999986,IL,c0,3.0,3.0,5000.0,6.0,b06,a2,,83.0,0.0,121.0,3.0,3.0,4.0,,,,41.0,1.0,1.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,10.666667,1.0,1.0,1.0,0.666667,0.333333,0.333333,0.0,0.0,1.333333,0.666667,0.333333,0.333333,0.333333,999plus,,AdmittedCommodityOtherBuildingSupplies,59543.21320811184,0.875,0.125,0.0,36796.6725,H,exclude
3889043,0da20bde-725e-43b9-894d-36acf5ecbb4b,NNFTK5212447-25,2025-09-24,51.0,0.884932,0.958773,,0.958773,10358.285714000001,10209.332005026052,,10064.316005030052,,0.0,0.0,,0.0,0.0,NC,c0,7.0,8.0,0.0,3.0,b07,a3,,38.0,0.0,119.0,21.0,23.0,0.0,,,,41.857143,0.857143,0.714286,0.428571,0.428571,0.428571,0.142857,0.0,0.0,0.0,5.142857,1.0,0.571429,0.285714,0.0,0.0,0.0,0.0,0.0,0.285714,0.714286,0.285714,0.0,0.0,999plus,Food & Beverage,AdmittedCommodityAppliances,113336.6010961507,0.0,0.0,0.714286,10358.285714000001,T,early_stopping
2563308,0ee4ee13-d2bc-4511-ae79-779bcdd2270d,NNFTK6889089-25,2025-02-17,63.0,3.520551,0.000000,,,33455.446037999995,468.37624453199993,,,,0.0,0.0,,4217.71223,59.04797122000001,GA,c0,5.0,5.0,0.0,10.0,b06,a3,,120.0,0.0,119.0,9.0,14.0,31.0,,,,48.2,1.0,1.0,0.8,0.8,0.6,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.2,0.2,0.2,999plus,,AdmittedCommodityPrintedMaterial,117895.69912423858,0.111111,0.0,0.888889,38473.76294369999,T,train
3386437,0f7cfd0c-42c0-4138-acbc-f1a7752857e6,NNFTK7432625-24,2024-02-25,95.0,7.155735,,,,36507.0,511.098,,,,33067.0,462.938,,4130.0,57.82,OH,a1,6.0,7.0,1419285.0,3.0,b05,a1,,47.0,0.0,119.0,11.0,5.0,0.0,,,,42.666667,0.666667,0.666667,0.666667,0.5,0.333333,0.166667,0.166667,0.0,0.0,2.666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,0.333333,0.0,0.0,999plus,,AdmittedCommodityPaperAndPaperProducts,145691.57613020454,0.0,0.0,0.857143,40157.700000000004,V,exclude
4107682,1310517f-907b-4584-ab67-59a6458fd83f,NNFTK2617439-25,2025-08-07,94.0,0.235617,,,,4707.3808229999995,65.903331522,,,,0.0,0.0,,340.465753,4.766520542,TX,c0,1.0,1.0,0.0,1.0,b09,a2,,23.0,0.0,124.0,15.0,51.0,0.0,,,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,999plus,,AdmittedCommodityPaperAndPaperProducts,95176.63351541641,0.214286,0.071429,0.428571,4707.3808229999995,T,train
3571922,16b43422-905e-4bca-9ee2-c5b854ae6065,NNFTK5024445-25,2025-03-29,84.0,0.389042,,,,4454.909586,62.368734204000006,,,,0.0,0.0,,0.0,0.0,GA,c0,1.0,1.0,0.0,3.0,b09,b3,,47.0,0.0,118.0,5.0,3.0,14.0,,,,55.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,999plus,,AdmittedCommodityOtherPaperPlasticGlass,161186.81411958748,0.0,0.0,1.0,5123.146023899999,T,early_stopping
2839608,028c2dac-ebda-412c-916d-7c5cc03132d2,NNFTK3052585-25,2025-03-31,30.0,0.589044,,,,5376.767124999999,75.27473975,,,,2481.6301339999995,34.74282187600001,,1009.027397,14.126383558000002,GA,c0,1.0,1.0,63500.0,2.0,b08,b1,,34.0,0.0,118.0,2.0,3.0,0.0,,,,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500,,AdmittedCommodityPlantsShrubsTreesTempControlled,91697.68290192718,0.0,0.0,0.0,6183.282193749998,T,train
3215149,04aea627-9a85-4548-96d6-dc8f95707a97,NNFTK7359048-25,2025-09-01,88.0,0.167124,,,,1244.2328760000003,17.419260264000002,,,,469.78355999999997,6.57696984,,107.29315,1.5021041,IL,c0,1.0,1.0,43000.0,6.0,b05,a3,,79.0,0.0,118.0,5.0,3.0,0.0,,,,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,999plus,,AdmittedCommodityOtherFoodAndBeverages,47560.804687856544,0.75,0.5,0.0,1244.2328760000003,T,train
3583177,04c82543-1e13-4d9e-a6ec-4ca40c7377ef,NNFTK5077097-25,2025-06-20,62.0,1.468493,,,,17174.6875,240.44562500000004,,,,0.0,0.0,,0.0,0.0,NC,c0,4.0,4.0,0.0,2.0,b07,c3,,24.0,0.0,120.0,15.0,16.0,0.0,,,,46.0,1.0,0.75,0.75,0.75,0.5,0.25,0.0,0.0,0.0,18.25,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.0,0.75,0.75,0.25,0.25,0.25,999plus,Consumer Goods,AdmittedCommodityOtherConsumerGoods,129333.88889203861,0.0,0.0,1.0,17174.6875,V,exclude
